repo,early_commits,sustained_commits,stars,total_issues,issue_closure_rate,healthy
zsroven/immich,575,0,0,0,0.0,0
hannasong01/Selecting-youtube-thumbnails-using-cnn---Tejas-Paul-Hanna,16,0,0,0,0.0,0
VArt67/ahoy,329,285,0,0,0.0,1
Fairuzajs/core-js-conditions-n-loops-tasks,15,0,0,0,0.0,0
ScorpioRen/lalmax,30,106,0,0,0.0,1
atrub/Rocket.Chat.ReactNative,15,0,0,0,0.0,0
mdwoicke/gorilla,40,86,0,0,0.0,1
PhilipEriksson/l2beat,37,0,0,0,0.0,0
Cakinn1/v47-tier2-team-10,318,0,0,0,0.0,0
EgoistD/sprig,20,0,0,0,0.0,0
josemvcerqueira/token-list,38,0,0,0,0.0,0
dboemer/nd013-c6-control-starter,29,0,0,0,0.0,0
Soptq/alexandria,16,0,0,0,0.0,0
smclairecarden/otwarchive,72,26,0,0,0.0,1
pavannaik321/first-contributions,2744,0,2,0,0.0,0
suming9521/dlssg-to-fsr3,28,65,0,0,0.0,1
tirithen/dioxus,24,0,0,0,0.0,0
felbdogg/llama.cpp,807,254,0,0,0.0,1
fourst4r/haxe,107,0,0,0,0.0,0
othaldo/workadventure-ds,173,188,0,0,0.0,1
zhangjixing123/Ensemble-qudi-modules,8,25,4,0,0.0,1
leexhq/lobe-chat,389,4615,0,0,0.0,1
sikkgit/screenshot-to-code,73,0,0,0,0.0,0
iamparijat/ieee-jusb-new-web,37,0,0,0,0.0,0
nehalineogi/PartnerResources,320,32,0,0,0.0,1
antqfpt/AniiX-Du-an-xem-phim-,42,0,0,0,0.0,0
GoForPDI/NASSP,254,1243,0,0,0.0,1
marcelstoer/quarkusio.github.io,162,496,0,0,0.0,1
ddimtirov/1brc,186,0,1,0,0.0,0
defhacks/mise,18,0,0,0,0.0,0
blowcowbeer/monero,88,701,0,0,0.0,1
deep-soft/NewPipeExtractor,56,231,0,0,0.0,1
KennethLam1997/mabiPlayerLogger,18,0,0,0,0.0,0
Griffin-McGuire/ord,168,186,0,0,0.0,1
minias/go-ethereum,151,317,0,0,0.0,1
fabiensabatie/mext-doc,1503,0,0,0,0.0,0
JulieCarpenter/Deploying-a-Scalable-ML-Pipeline-with-FastAPI,33,0,0,0,0.0,0
Saffage/aocla-oe,25,0,1,0,0.0,0
skejriwal44/skejriwal44.github.io,42,41,0,0,0.0,1
gbohr/gbohr.github.io,119,2,0,0,0.0,1
ai-fanatic/aifanatic.pro,6,26,0,0,0.0,1
Vlad666exe/test,33,0,0,0,0.0,0
tn00627974/AI-Project,29,0,1,0,0.0,0
svkcemk/camel-quarkus,157,1304,0,0,0.0,1
mvhamed/testt,32,0,0,0,0.0,0
hwahyang1/info-pride,142,264,0,0,0.0,1
CCOCCA/localchat,27,0,0,0,0.0,0
Evaxle/Interstellar,246,916,0,0,0.0,1
QAQwhatever/PSGameSpider,431,1676,0,0,0.0,1
cbadura/onecx-product-store-ui,26,67,0,0,0.0,1
EmrhT/solar-system,33,0,0,4,0.0,0
zebin-dm/Instant-angelo,53,0,0,0,0.0,0
DnCraptor/pico-launcher,63,1,1,0,0.0,0
DiegoMarti2/tutorials,1200,694,0,0,0.0,1
Edvin23/gitlabFall23,19,0,0,0,0.0,0
rajutkarsh07/Codelabz,32,0,0,0,0.0,0
mesocoban/Xiaomi.eu-HyperOS-1.0-XML-Compare,239,919,0,0,0.0,1
ManuelE-Osorio/CodeReviews.Console.ShiftsLogger,45,0,0,0,0.0,0
snehiltripathi12/DataScienceWinterProject-2023,40,0,0,0,0.0,0
ahmedtwine/iroh,72,863,0,0,0.0,1
ShuoYang512/nftdefects,24,0,2,0,0.0,0
VectorLogoZone/ghashboard,17,0,0,0,0.0,0
aditya02shah/keras-io,61,0,0,0,0.0,0
djsaikrishna/pastebin-worker,35,0,0,0,0.0,0
shichaog/Qwen,49,0,0,0,0.0,0
Jochen754/solaredge-modbus-hass,14,1,0,0,0.0,0
JohnHuang-CT/ChatGPT-Next-Web,23,0,0,0,0.0,0
jzohdi/solid-start,172,0,0,0,0.0,0
SergioRibera/nixpkgs,25927,297864,0,0,0.0,1
nbazzeghin/ksoloti-shield-template,15,0,1,0,0.0,0
Surajpatra700/RoboticsApplicationManager,19,0,0,0,0.0,0
coniaric/dio-lab-open-source,58,0,0,0,0.0,0
CXIA17/ip,36,0,0,0,0.0,0
Jayesh9819/QR-Code,83,0,0,0,0.0,0
mhenderson-heroic/CIPP,243,988,0,0,0.0,1
mscott99/try_kickstart.nvim,3,46,0,0,0.0,1
lhhbsymx/mobrai-web,48,0,0,0,0.0,0
burkegm/4250_001,410,0,0,0,0.0,0
anilhelvaci/agoric-3-proposals,203,86,0,9,0.4444444444444444,1
febreze101/zephyr,180,0,0,0,0.0,0
PEZ/macroquad-introduktion,37,73,0,0,0.0,1
Prn-Ice/flutter.nix,22,20,0,0,0.0,1
dominikb1888/Air-Pollution-Visualization-paniz,114,0,0,0,0.0,0
Scriptkidd98/aria-ease,36,49,0,0,0.0,1
mikespub-org/middlewares-cache,20,2,0,0,0.0,1
monicahkk/tm23projects,24,0,0,0,0.0,0
greg-szabo/home-assistant.io,52,0,0,0,0.0,0
kochia0904/ChatGPT-Next-Web,165,698,0,0,0.0,1
Joalor64GH/incredibox-modding-docs,18,0,0,0,0.0,0
TaikiShuttle/Time-Series-Library,37,122,0,0,0.0,1
sherlockscore/action-destinations,152,1283,0,0,0.0,1
mexicanamerican/mergekit,48,133,0,0,0.0,1
kilammac/powerlevel10k,52,26,0,0,0.0,1
jagadishb1409/Screeni-py,6,14,0,0,0.0,1
Klosw/Box,36,57,8,1,1.0,1
DmitriyShepelev/cgm-remote-monitor,3,45,0,0,0.0,1
wang-yan-github/vpncn.github.io,5,29,1,0,0.0,1
kumarsaurav123/1brc,51,0,0,0,0.0,0
chide-org/Review-of-R_test,56,0,0,0,0.0,0
mostafanasser2000/course-management-platform,91,73,1,0,0.0,1
edisplay/typehero,66,306,0,0,0.0,1
bhoiqr101/Nobita-Filter-Bot,63,14,0,0,0.0,1
viralkansodiya/vesta-si-erpnext,64,1155,0,0,0.0,1
ijuniorfu/FMTV,674,162,0,0,0.0,1
tgtma2onpc/ma2apcmini,42,0,1,0,0.0,0
Kdjjjjn123/KernelSU_Action,16,1,0,0,0.0,0
A2K/assettoserver-lua-scripts,30,0,0,0,0.0,0
i-just/super-table,11,4,0,0,0.0,1
FrankensteinMazino/File-Sharing-Man,19,0,0,0,0.0,0
Wesley-yang/eth-utils,15,29,0,0,0.0,1
HappyLeslieAlexander/chrome_plus,38,132,0,0,0.0,1
Cyber-Finn/space-station-14,2366,10600,1,0,0.0,1
bryce-a-smith/fall2023-workbook8,15,0,0,0,0.0,0
1juho1/CIST2110-S24-Programming-In-Python-Labs,23,14,0,0,0.0,1
LlibertM/qmk_firmware,394,381,0,0,0.0,1
nfzwyio/genshin-db,24,24,0,0,0.0,1
SpearBrave/javascript-projects,23,0,0,0,0.0,0
G413X/ru-my-first-pullrequest_fork,559,140,0,0,0.0,1
AllisanLu/Quantum,296,165,0,0,0.0,1
Akshay444Kumar/new_chatapp,16,0,0,0,0.0,0
Wesley-yang/gin-vue-admin,80,284,0,0,0.0,1
Planck1035/shuqi.github.io,74,0,0,0,0.0,0
codeinvain/comfyui_segment_anything,20,0,2,0,0.0,0
Tony7466/LaZagne,28,7,0,0,0.0,1
juanlujand/juice-shop,9,9,0,0,0.0,1
chrisawi/flatpak,46,0,0,0,0.0,0
democ98/doc-v2,24,112,0,0,0.0,1
Nerivec/zigbee-herdsman,100,552,0,0,0.0,1
Molkars/sleigh-sys,15,0,0,0,0.0,0
mxwl888/Telegraph-Image,36,0,0,0,0.0,0
Nadin21/basic-js,21,0,0,0,0.0,0
NikolayAverin/data_structures_project,16,0,0,0,0.0,0
HTBNighty/pingbypass,18,0,0,0,0.0,0
Daniel-Khodabakhsh/zig,1361,2351,0,0,0.0,1
nbariletto/nbariletto.github.io,71,32,0,0,0.0,1
mlibanori/images,286,39,0,0,0.0,1
fitchmultz/chatbot-ui,173,0,0,0,0.0,0
